name,type,location,price,duration,rating,cost_per_day,cluster,cluster_label
Location vacances Villa Boumerdès Boumerdes,hotel,Villa,1000.0,1.0,,1000.0,2,budget
Location vacances Niveau De Villa F2 Alger Bab ezzouar,hotel,Oussama Location Vacance,5000.0,1.0,,5000.0,2,budget
Location vacances Appartement F4 Alger El biar,hotel,FELOUSSIMMO,20000.0,1.0,,20000.0,2,budget
Location vacances Appartement Niveau de villa F3 Alger El biar,hotel,FELOUSSIMMO,12000.0,1.0,,12000.0,2,budget
Location vacances Appartement F3 Alger Hydra,hotel,FELOUSSIMMO,12000.0,1.0,,12000.0,2,budget
Location vacances Appartement F5 Alger Hydra,hotel,FELOUSSIMMO,12000.0,1.0,,12000.0,2,budget
Location vacances Appartement F4 Oran Bir el djir,hotel,Elmanzeh Immobilier,20000.0,1.0,,20000.0,2,budget
Location vacances Appartement F3 Oran Oran,hotel,Elmanzeh Immobilier,15000.0,1.0,,15000.0,2,budget
Location vacances Appartement F5 Oran Oran,hotel,Elmanzeh Immobilier,15000.0,1.0,,15000.0,2,budget
Location vacances Appartement F2 Alger Alger centre,hotel,Appartement,11000.0,1.0,,11000.0,2,budget
Location vacances Appartement Boumerdès Boumerdes,hotel,Appartement,4500.0,1.0,,4500.0,2,budget
Location vacances Appartement Studio Oran Oran,hotel,Elmanzeh Immobilier,8000.0,1.0,,8000.0,2,budget
Location vacances Appartement F4 Oran Oran,hotel,Elmanzeh Immobilier,15000.0,1.0,,15000.0,2,budget
Location vacances Appartement F2 Oran Oran,hotel,Elmanzeh Immobilier,9000.0,1.0,,9000.0,2,budget
Location vacances Villa Oran Ain el turck,hotel,Elmanzeh Immobilier,35000.0,1.0,,35000.0,2,budget
Location vacances Villa Aïn Témouchent Bou zedjar,hotel,Elmanzeh Immobilier,25000.0,1.0,,25000.0,2,budget
Location vacances Villa Alger Beni messous,hotel,Talamou voyage,11110000.0,1.0,,11110000.0,1,premium
Location vacances Appartement Boumerdès Corso,hotel,Appartement,5000.0,1.0,,5000.0,2,budget
